Diet,Country,Weight_change
A,USA     ,0.12
A,USA     ,0.125
A,USA     ,0.112
A,UK      ,0.052
A,UK      ,0.055
A,UK      ,0.044
A,NZ      ,0.08
A,NZ      ,0.09
A,NZ      ,0.075
B,USA     ,0.096
B,USA     ,0.1
B,USA     ,0.089
B,UK      ,0.025
B,UK      ,0.029
B,UK      ,0.019
B,NZ      ,0.055
B,NZ      ,0.065
B,NZ      ,0.05
C,USA     ,0.149
C,USA     ,0.15
C,USA     ,0.142
C,UK      ,0.077
C,UK      ,0.08
C,UK      ,0.066
C,NZ      ,0.055
C,NZ      ,0.065
C,NZ      ,0.050 
